"","Units","scenario","region","subresource","year","value","rundate"
"204","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2020,0,2024-03-11 09:44:58
"205","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2025,0,2024-03-11 09:44:58
"206","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2030,0,2024-03-11 09:44:58
"207","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2035,0,2024-03-11 09:44:58
"208","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2040,0,2024-03-11 09:44:58
"209","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2045,0,2024-03-11 09:44:58
"210","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2050,0,2024-03-11 09:44:58
"211","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2055,0,2024-03-11 09:44:58
"212","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2060,0,2024-03-11 09:44:58
"213","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2065,0,2024-03-11 09:44:58
"214","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2070,0,2024-03-11 09:44:58
"215","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2075,0,2024-03-11 09:44:58
"216","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2080,0,2024-03-11 09:44:58
"217","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2085,0,2024-03-11 09:44:58
"218","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2090,0,2024-03-11 09:44:58
"219","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2095,0,2024-03-11 09:44:58
"220","km^3","PolicyReference","Africa_Eastern","groundwater grade17",2100,0,2024-03-11 09:44:58
"221","km^3","PolicyReference","Africa_Eastern","groundwater grade18",1975,0,2024-03-11 09:44:58
"222","km^3","PolicyReference","Africa_Eastern","groundwater grade18",1990,0,2024-03-11 09:44:58
"223","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2005,0,2024-03-11 09:44:58
"224","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2010,0,2024-03-11 09:44:58
"225","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2015,0,2024-03-11 09:44:58
"226","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2020,0,2024-03-11 09:44:58
"227","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2025,0,2024-03-11 09:44:58
"228","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2030,0,2024-03-11 09:44:58
"229","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2035,0,2024-03-11 09:44:58
"230","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2040,0,2024-03-11 09:44:58
"231","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2045,0,2024-03-11 09:44:58
"232","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2050,0,2024-03-11 09:44:58
"233","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2055,0,2024-03-11 09:44:58
"234","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2060,0,2024-03-11 09:44:58
"235","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2065,0,2024-03-11 09:44:58
"236","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2070,0,2024-03-11 09:44:58
"237","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2075,0,2024-03-11 09:44:58
"238","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2080,0,2024-03-11 09:44:58
"239","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2085,0,2024-03-11 09:44:58
"240","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2090,0,2024-03-11 09:44:58
"241","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2095,0,2024-03-11 09:44:58
"242","km^3","PolicyReference","Africa_Eastern","groundwater grade18",2100,0,2024-03-11 09:44:58
"243","km^3","PolicyReference","Africa_Eastern","groundwater grade19",1975,0,2024-03-11 09:44:58
"244","km^3","PolicyReference","Africa_Eastern","groundwater grade19",1990,0,2024-03-11 09:44:58
"245","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2005,0,2024-03-11 09:44:58
"246","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2010,0,2024-03-11 09:44:58
"247","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2015,0,2024-03-11 09:44:58
"248","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2020,0,2024-03-11 09:44:58
"249","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2025,0,2024-03-11 09:44:58
"250","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2030,0,2024-03-11 09:44:58
"251","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2035,0,2024-03-11 09:44:58
"252","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2040,0,2024-03-11 09:44:58
"253","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2045,0,2024-03-11 09:44:58
"254","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2050,0,2024-03-11 09:44:58
"255","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2055,0,2024-03-11 09:44:58
"256","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2060,0,2024-03-11 09:44:58
"257","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2065,0,2024-03-11 09:44:58
"258","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2070,0,2024-03-11 09:44:58
"259","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2075,0,2024-03-11 09:44:58
"260","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2080,0,2024-03-11 09:44:58
"261","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2085,0,2024-03-11 09:44:58
"262","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2090,0,2024-03-11 09:44:58
"263","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2095,0,2024-03-11 09:44:58
"264","km^3","PolicyReference","Africa_Eastern","groundwater grade19",2100,0,2024-03-11 09:44:58
"265","km^3","PolicyReference","Africa_Eastern","groundwater grade2",1975,0,2024-03-11 09:44:58
"266","km^3","PolicyReference","Africa_Eastern","groundwater grade2",1990,0,2024-03-11 09:44:58
"267","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2005,0,2024-03-11 09:44:58
"268","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2010,0,2024-03-11 09:44:58
"269","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2015,0,2024-03-11 09:44:58
"270","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2020,0,2024-03-11 09:44:58
"271","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2025,0,2024-03-11 09:44:58
"272","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2030,0,2024-03-11 09:44:58
"273","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2035,0,2024-03-11 09:44:58
"274","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2040,11.9591,2024-03-11 09:44:58
"275","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2045,33.3337,2024-03-11 09:44:58
"276","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2050,39.7866,2024-03-11 09:44:58
"277","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2055,54.1543,2024-03-11 09:44:58
"278","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2060,59.8905,2024-03-11 09:44:58
"279","km^3","PolicyReference","Africa_Eastern","groundwater grade2",2065,42.4164,2024-03-11 09:44:58
