"","Units","scenario","region","subresource","year","value","rundate"
"257","km^3","Reference","Africa_Eastern","groundwater grade19",2065,0,2024-02-05 13:29:59
"258","km^3","Reference","Africa_Eastern","groundwater grade19",2070,0,2024-02-05 13:29:59
"259","km^3","Reference","Africa_Eastern","groundwater grade19",2075,0,2024-02-05 13:29:59
"260","km^3","Reference","Africa_Eastern","groundwater grade19",2080,0,2024-02-05 13:29:59
"261","km^3","Reference","Africa_Eastern","groundwater grade19",2085,0,2024-02-05 13:29:59
"262","km^3","Reference","Africa_Eastern","groundwater grade19",2090,0,2024-02-05 13:29:59
"263","km^3","Reference","Africa_Eastern","groundwater grade19",2095,0,2024-02-05 13:29:59
"264","km^3","Reference","Africa_Eastern","groundwater grade19",2100,0,2024-02-05 13:29:59
"265","km^3","Reference","Africa_Eastern","groundwater grade2",1975,0,2024-02-05 13:29:59
"266","km^3","Reference","Africa_Eastern","groundwater grade2",1990,0,2024-02-05 13:29:59
"267","km^3","Reference","Africa_Eastern","groundwater grade2",2005,0,2024-02-05 13:29:59
"268","km^3","Reference","Africa_Eastern","groundwater grade2",2010,0,2024-02-05 13:29:59
"269","km^3","Reference","Africa_Eastern","groundwater grade2",2015,0,2024-02-05 13:29:59
"270","km^3","Reference","Africa_Eastern","groundwater grade2",2020,0,2024-02-05 13:29:59
"271","km^3","Reference","Africa_Eastern","groundwater grade2",2025,0,2024-02-05 13:29:59
"272","km^3","Reference","Africa_Eastern","groundwater grade2",2030,0,2024-02-05 13:29:59
"273","km^3","Reference","Africa_Eastern","groundwater grade2",2035,0,2024-02-05 13:29:59
"274","km^3","Reference","Africa_Eastern","groundwater grade2",2040,7.5763,2024-02-05 13:29:59
"275","km^3","Reference","Africa_Eastern","groundwater grade2",2045,30.107,2024-02-05 13:29:59
"276","km^3","Reference","Africa_Eastern","groundwater grade2",2050,37.2341,2024-02-05 13:29:59
"277","km^3","Reference","Africa_Eastern","groundwater grade2",2055,47.7186,2024-02-05 13:29:59
"278","km^3","Reference","Africa_Eastern","groundwater grade2",2060,63.0334,2024-02-05 13:29:59
"279","km^3","Reference","Africa_Eastern","groundwater grade2",2065,44.1422,2024-02-05 13:29:59
"280","km^3","Reference","Africa_Eastern","groundwater grade2",2070,47.14,2024-02-05 13:29:59
"281","km^3","Reference","Africa_Eastern","groundwater grade2",2075,11.02328,2024-02-05 13:29:59
"282","km^3","Reference","Africa_Eastern","groundwater grade2",2080,0.412834,2024-02-05 13:29:59
"283","km^3","Reference","Africa_Eastern","groundwater grade2",2085,0.549553,2024-02-05 13:29:59
"284","km^3","Reference","Africa_Eastern","groundwater grade2",2090,0.633187,2024-02-05 13:29:59
"285","km^3","Reference","Africa_Eastern","groundwater grade2",2095,0.672117,2024-02-05 13:29:59
"286","km^3","Reference","Africa_Eastern","groundwater grade2",2100,0.680077,2024-02-05 13:29:59
"287","km^3","Reference","Africa_Eastern","groundwater grade20",1975,0,2024-02-05 13:29:59
"288","km^3","Reference","Africa_Eastern","groundwater grade20",1990,0,2024-02-05 13:29:59
"289","km^3","Reference","Africa_Eastern","groundwater grade20",2005,0,2024-02-05 13:29:59
"290","km^3","Reference","Africa_Eastern","groundwater grade20",2010,0,2024-02-05 13:29:59
"291","km^3","Reference","Africa_Eastern","groundwater grade20",2015,0,2024-02-05 13:29:59
"292","km^3","Reference","Africa_Eastern","groundwater grade20",2020,0,2024-02-05 13:29:59
"293","km^3","Reference","Africa_Eastern","groundwater grade20",2025,0,2024-02-05 13:29:59
"294","km^3","Reference","Africa_Eastern","groundwater grade20",2030,0,2024-02-05 13:29:59
"295","km^3","Reference","Africa_Eastern","groundwater grade20",2035,0,2024-02-05 13:29:59
"296","km^3","Reference","Africa_Eastern","groundwater grade20",2040,0,2024-02-05 13:29:59
"297","km^3","Reference","Africa_Eastern","groundwater grade20",2045,0,2024-02-05 13:29:59
